Controller,Pedestrian Profile,Avg Wait (s),95th Wait (s),Gap Ratio
FixedTime,Normal,8.19,28.45,1.0
FixedTime,Elderly,6.33,25.8,0.77
FixedTime,Child,12.72,25.94,1.55
FixedTime,Slow_walker,7.08,23.32,0.86
FixedTime,Paired_group,6.39,27.53,0.78
FixedTime,Distracted,7.23,22.36,0.88
PushButton,Normal,2.11,6.53,1.0
PushButton,Elderly,3.65,8.9,1.73
PushButton,Child,3.47,7.62,1.65
PushButton,Slow_walker,1.48,5.75,0.7
PushButton,Paired_group,1.32,6.9,0.63
PushButton,Distracted,4.78,9.6,2.26
Heuristic,Normal,1.29,4.5,1.0
Heuristic,Elderly,2.5,9.1,1.94
Heuristic,Child,2.56,4.37,1.99
Heuristic,Slow_walker,0.16,0.1,0.13
Heuristic,Paired_group,1.53,4.7,1.19
Heuristic,Distracted,3.13,6.88,2.43
Smart (Full),Normal,5.61,23.71,1.0
Smart (Full),Elderly,7.34,25.52,1.31
Smart (Full),Child,5.69,24.28,1.01
Smart (Full),Slow_walker,5.87,17.26,1.05
Smart (Full),Paired_group,6.68,23.4,1.19
Smart (Full),Distracted,10.23,27.78,1.82
Smart (Risk-Averse),Normal,5.94,23.73,1.0
Smart (Risk-Averse),Elderly,7.97,27.17,1.34
Smart (Risk-Averse),Child,6.32,24.61,1.06
Smart (Risk-Averse),Slow_walker,5.2,16.99,0.88
Smart (Risk-Averse),Paired_group,7.22,23.34,1.21
Smart (Risk-Averse),Distracted,10.92,26.9,1.84
Smart (NoSpatial),Normal,5.61,23.71,1.0
Smart (NoSpatial),Elderly,7.34,25.52,1.31
Smart (NoSpatial),Child,5.69,24.28,1.01
Smart (NoSpatial),Slow_walker,5.87,17.26,1.05
Smart (NoSpatial),Paired_group,6.68,23.4,1.19
Smart (NoSpatial),Distracted,10.23,27.78,1.82
